poiID,poiCat,poiLon,poiLat
1,Ride,-117.922717,33.805968
2,Kiddie,-117.917583,33.80661
3,Roller Coaster,-117.923036,33.80631
4,Family,-117.917778,33.806812
5,Spinning Ride,-117.922848,33.805556
6,Kiddie,-117.919092,33.806487
7,Family,-117.921177,33.80454
8,Family,-117.918084,33.806384
9,Ride,-117.917517,33.806373
10,Spinning Ride,-117.922265,33.80596
11,Roller Coaster,-117.920886,33.804481
12,Ride,-117.920017,33.808353
13,Ride,-117.917278,33.808324
14,Ride,-117.918218,33.804962
15,Roller Coaster,-117.916916,33.806607
16,Ride,-117.92151,33.806285
17,Water,-117.920859,33.807572
18,Family,-117.922333,33.805046
19,Show,-117.919717,33.806032
20,Show,-117.918662,33.80697
21,Ride,-117.917905,33.807062
22,Family,-117.917724,33.807414
23,Kiddie,-117.921459,33.806958
24,Family,-117.918332,33.807419
25,Family,-117.917375,33.807424
